vertex,x,y,solution,residual
0,0,0,-1.8260132511371752e-11,-1.1191754856644751e-18
1,1,0,-9.7206212410176794e-12,3.4694469519536142e-18
2,1,1,2.0827760918560942e-11,3.4694469519536142e-18
3,0,1,1.1219976334608794e-11,0
4,0.5,0.5,-0.00059388500440007768,-6.5904371629437902e-18
5,0,0.5,1.0620408051683832e-11,-1.3289886181385086e-19
6,0.5,0,6.3317975240893317e-10,-3.0834516448126238e-17
7,1,0.5,-1.8320110175483618e-12,1.3015360267670178e-18
8,0.5,1,-6.3007438563942692e-10,-8.8254918202760737e-17
9,0.75,0.25,0.70722975896337137,2.0400498897902087e-16
10,0.25,0.75,-0.70567301795373716,-6.8310188482823506e-16
11,0.75,0.75,-0.70454815538685611,2.5664473086375403e-16
12,0.5,0.25,0.99746134919062202,-7.5170128752142401e-16
13,0.75,0,4.4585718054092235e-10,-2.5690678495118554e-17
14,1,0.25,3.2020377307740773e-10,-5.3688157754008958e-18
15,0.875,0.375,0.27031281628925191,-2.5132243938450505e-17
16,0.875,0.125,0.27176372068624088,3.8895972225425461e-17
17,0.875,0.25,0.38276395766598809,-4.3678924205812605e-17
18,1,0.375,2.1438197033751812e-10,-8.8301733333318415e-18
19,0.9375,0.4375,0.074191755682728552,-5.9014002638478791e-17
20,1,0.75,-3.1253985968873109e-10,2.5512732961522772e-17
21,0.765625,0.546875,-0.19365388205771278,-5.905729930251009e-17
22,0.83940972222222221,0.47309027777777779,0.081650277354869349,-2.2884934960211557e-17
23,1,0.625,-2.0692282553899602e-10,6.5136786363978777e-18
24,0.69431423611111109,0.40177951388888888,0.47352982941452415,1.9855319281159975e-17
25,0.88172743055555558,0.58919270833333337,-0.19140834864942974,-8.1708904528496679e-17
26,0.78611893892370455,0.39825290163505112,0.37163492621739641,1.999974603663837e-16
27,0.90950290979323922,0.51330561452499801,-0.023072483744930674,9.2874511784734814e-19
28,0.74282842376155944,0.46800747896808659,0.1433136026175196,-7.9658661807766806e-17
29,0.6292610401772426,0.54356243899562506,-0.2485923941142742,1.2373123685685681e-16
30,0.73758652960832194,0.33155059052242536,0.63692536500464147,6.3022785805912235e-17
31,0.61425288756291063,0.30400306547048717,0.87970530877103403,4.5186184754474525e-16
32,0.91652132708970435,0.6875,-0.24035982898209179,2.8134281504778672e-18
33,0.75,1,-4.5189720757213256e-10,-6.2860279141965508e-17
34,0.81434503289610238,0.66835230530610401,-0.47944963754388753,-1.1180331506570389e-16
35,0.875,0.82995783517367827,-0.33629630002400729,1.0475730016355313e-16
36,0.8366992460419026,0.75214765628933955,-0.49044234794305047,-7.2566704526439985e-17
37,0.92249482082657541,0.76652096137024162,-0.23896124203060121,6.3166968376841529e-17
38,0.8125,0.1875,0.51300654645273769,6.8907630494047391e-17
39,0.6875,0.125,0.58866135476712289,-2.7768937043813157e-16
40,0.78125,0.09375,0.35111665933460129,2.0377170298192819e-16
41,1,0.125,2.4598904264904137e-10,-8.2243979291778754e-18
42,0.875,0,2.298176144901978e-10,1.4555338966505964e-17
43,0.8125,0,3.7003793232215538e-10,-7.9821933663510598e-15
44,0.9375,0.0625,0.078065711702912391,1.7347234759768071e-17
45,0.9375,0.3125,0.17922127021092596,-1.0575448169810674e-17
46,0.59197607918131223,0.44063986253879389,0.34916829539303423,2.5149221747882373e-16
47,0.48446982449268355,0.375,0.70263939217592208,3.6464667892834215e-16
48,0.62599776350006331,0.37605227779338868,0.64492435332744547,2.0861132925167901e-16
49,0.69505289748116805,0.64360983826778217,-0.6412057839203994,-4.0104416172211764e-17
50,0.69682183417801713,0.57079028495553996,-0.34912678635251021,-5.7052522063267497e-17
51,0.76243952159946504,0.61866112700870113,-0.459127663166432,-2.4375032078781957e-16
52,0.5407082044305459,0.7907082044305459,-0.95693196929243296,7.4973781375565133e-17
53,0.63939904463891561,0.73973755426603183,-0.90544585406228895,2.2242165599818916e-17
54,0.68262490136697695,0.875,-0.59651335252805282,5.4878777399630998e-16
55,0.52904234833930353,0.64709108996602138,-0.79317300047071104,4.561427753580857e-16
56,0.68975249236689928,0.7981841615098465,-0.79012359387224895,1.1435326840797135e-13
57,0.61165849855170618,0.62679427972016821,-0.67251350866600945,-9.8927210549576833e-17
58,0.56487078768827992,0.71646314567440283,-0.95364501274519042,-2.8380896640486746e-16
59,0.81918619659115066,0.3125,0.49665760717687213,-2.6644243876475614e-16
60,1,0.875,-2.1179030147294417e-10,5.0682879594210989e-18
61,0.65850434249868661,0.21762282875065669,0.8558705320793274,-1.8509948089414582e-16
62,0.55920888428313098,0.13568832642469647,0.74117502613301389,3.3795031057506219e-16
63,0.625,0,5.7130653473979983e-10,2.6778736359931696e-17
64,0.9375,0.1875,0.18046793426912694,-4.6844988415460806e-17
65,0.53767897714725299,0.31814603442941625,0.90456655018051779,3.0498210381220232e-16
66,0.25,0.46759560560948066,0.14381387055468536,-7.4522820875231214e-17
67,0.77712666045661105,0.84527890705402786,-0.52965108807678762,-9.0896948878963698e-17
68,0.875,1,-2.5565975575613817e-10,3.5597140487661637e-18
69,0.7487133873762879,0.92003586955616246,-0.34133516010979076,-1.5443041651357827e-16
70,0.625,1,-5.7694568727373222e-10,3.9412939774346557e-17
71,0.40103697533424509,0.72977118131436058,-0.94064903887248685,4.0709851914423375e-16
72,0.54951380189645527,0.56663643795291008,-0.40105716081988602,-3.2711942734077837e-16
73,0.5757681357186929,0.21675511391056781,0.95003816453222745,1.3784305493361531e-16
74,0.25,0,4.5067445447708511e-10,2.0389313544150762e-17
75,0.5625,0,6.2411391812746391e-10,-1.3067078781833144e-13
76,0.6875,0,5.1100692110274405e-10,-7.970118824238061e-15
77,0.61924369132285229,0.08100315433857383,0.45096956278499062,7.173245496748166e-17
78,0.37918039379754609,0.45154605210723953,0.27703332404121073,-1.7279189255405849e-16
79,0.9375,0.9375,-0.074136505273382489,-4.895584972053204e-17
80,0.5719317421064819,0.89975305795513449,-0.57250859076609639,-5.8552794246312819e-16
81,0.61350434345646843,0.82885665040120515,-0.8211479403179367,2.2182680321670837e-16
82,0.39862106130239761,0.125,0.6727973640009568,2.147744368949005e-16
83,0.45298361002745369,0.44237663689880041,0.34795676595529174,4.9813394438872115e-17
84,0.3936268894228464,0.59038223645881527,-0.50680217230286884,1.4157792396648079e-16
85,0.48168303603016976,0.088755121906420015,0.52531779687155133,-1.1188022030770202e-16
86,0.46853045625265749,0.17191203472541791,0.87581890311552657,-3.3129428382191308e-16
87,0.35730069322482594,0.26212287734419693,0.89651880765647673,2.0012083943055231e-16
88,0.42299348692172162,0.51715681521609769,-0.10438649915448767,-1.0833838048197703e-16
89,0.44508548891966843,0.65753807171624945,-0.82351048284599804,6.3318444806508498e-16
90,0.31541272112659424,0.6644316338327525,-0.7203272299977872,-6.5482653234139137e-17
91,0,0.75,-3.1965775771210307e-10,4.5986987753287986e-19
92,0.29311937933909982,0.56255315621036661,-0.30383570545198219,-1.0421268273179537e-16
93,0.31881976821681135,0.49361399949128154,0.033215180471163314,2.7514310612369931e-13
94,0.13697538290307607,0.57618791785175805,-0.19123578837676031,1.353909900228632e-16
95,0.21264233925625148,0.54182822582325252,-0.16041816207688989,-2.7297415570280775e-17
96,0.21391773384181262,0.64513367988603942,-0.49246443556113462,2.3950874129807259e-16
97,0,0.25,3.1525541897382855e-10,-3.6676550514314326e-17
98,0.12611051847179536,0.45176452141439527,0.11789452754471304,1.4387973993936289e-17
99,0,0.625,-2.20780148663383e-10,-8.1855568804932567e-18
100,0.10363971422050022,0.69079607099476059,-0.29791022032617748,-1.129013836250855e-16
101,0.079368255398513457,0.51853220353392515,-0.027665176186389615,1.9564044362297888e-17
102,0.20664505068103525,0.31420173774000421,0.55545546599345474,-2.9736946309400894e-16
103,0,0.6875,-2.9727493392398051e-10,-7.4768578437302384e-13
104,0.07557443901935755,0.62048063285819532,-0.16061274489773311,2.4605910829518911e-17
105,0.17863326387084374,0.71591504363899405,-0.51863836754298098,-9.3250392900076086e-17
106,0.25,1,-4.3983133763255299e-10,-5.1399794715228536e-18
107,0,0.875,-2.1501510571453558e-10,7.4136543635898371e-18
108,0.10455560001215138,0.812569049319259,-0.29622715129221028,-1.4788295288644164e-16
109,0.19566493415104422,0.40012895076323807,0.33955070706045576,2.5971437420132491e-16
110,0,0.8125,-3.0418139691252992e-10,1.0933906562327392e-17
111,0.125,1,-2.9043646981427528e-10,-4.552282546817076e-18
112,0.0625,0.9375,-0.076374606533450004,6.918671730005303e-17
113,0.43281789329794579,0.30511794614087889,0.92133095735909942,5.4608699186469493e-16
114,0.35232911992478,0.35867234535564529,0.69245630186616214,-2.9887856821065353e-16
115,0.27688852468382241,0.39032759492133423,0.48761604748818699,6.7417466604114367e-17
116,0.28847841428674059,0.30698177964550477,0.73470868914689325,5.1932177329159411e-16
117,0.23408981679098825,0.1578966653233933,0.56167643209314866,-5.9811191241198185e-17
118,0,0.375,2.4223358357161531e-10,3.480399419171262e-17
119,0.10334180299593014,0.34466639100717583,0.2648735333581323,4.9138284452484318e-17
120,0,0.3125,2.7833788217159174e-10,-1.4420559525791561e-14
121,0.1226699420537937,0.21982766493504294,0.37130773354351682,1.0360181722294561e-16
122,0.1875,0.89835220750884803,-0.33087418517335881,-6.9186695385972249e-18
123,0.11487159066228464,0.88558580851298563,-0.23110307208607131,-2.2627522857577122e-16
