vertex,x,y,solution,residual
0,0,0,-9.0837162178112575e-12,-8.6736173798840355e-19
1,1,0,-1.0003233133838453e-11,8.6736173798840355e-19
2,1,1,8.7468280648463021e-12,0
3,0,1,7.2446789823982917e-13,0
4,0.5,0.5,-3.3158387648820219e-05,2.7323011656305117e-17
5,0,0.5,2.7629574915857144e-12,3.0312386869726912e-19
6,0.5,0,6.3168715924444742e-10,3.2288718652541677e-18
7,1,0.5,7.1096127169498811e-12,-1.1207923598629634e-18
8,0.5,1,-6.3201264841516691e-10,-3.414763748295311e-18
9,0.75,0.25,0.70743085501133951,-8.741898274681558e-17
10,0.25,0.75,-0.70757260024893576,2.7685868707142268e-16
11,0.75,0.75,-0.70649941469852695,-3.8663036739947572e-17
12,0.5,0.25,0.99909550950762416,7.4096074288609375e-16
13,0.75,0,4.4436276953804479e-10,-1.6068196012737507e-17
14,1,0.25,3.1504429386118885e-10,3.1265302948625033e-18
15,0.875,0.375,0.27092872901798115,-5.4233879222428335e-17
16,0.875,0.125,0.2708873933017884,2.1700250834437188e-16
17,0.875,0.25,0.38195699457723675,-1.7384691536494514e-16
18,1,0.375,2.2329757926211459e-10,4.6124812944566841e-18
19,0.9375,0.4375,0.074639914924983217,4.0992707450961886e-17
20,1,0.75,-3.1478784405683519e-10,-2.3926361219852022e-18
21,0.765625,0.546875,-0.19460143850622097,-7.4243457820156122e-17
22,0.83940972222222221,0.47309027777777779,0.081493251425448568,-6.1529738246534952e-17
23,1,0.625,-2.191613057950436e-10,9.1319856803312215e-18
24,0.69431423611111109,0.40177951388888888,0.47359369729430106,-2.6948038791281971e-16
25,0.88172743055555558,0.58919270833333337,-0.19282716654496548,-1.6409832199660473e-17
26,0.78611893892370455,0.39825290163505112,0.37149685775486779,-2.0779020817057413e-16
27,0.90950290979323922,0.51330561452499801,-0.023344774967305019,1.0407761937644719e-17
28,0.74282842376155944,0.46800747896808659,0.14408242392133594,-8.13704957668251e-17
29,0.6292610401772426,0.54356243899562506,-0.24807294989269851,1.7001224807353631e-16
30,0.73758652960832194,0.33155059052242536,0.63980633506224749,-1.4036669749645711e-16
31,0.61425288756291063,0.30400306547048717,0.8822030476562307,-2.5523199277884531e-16
32,0.91652132708970435,0.6875,-0.23952132167657977,6.7344970898015656e-17
33,0.75,1,-4.4857852453517295e-10,-1.8875621981670915e-17
34,0.81434503289610238,0.66835230530610401,-0.47998560574742299,-1.735124342346212e-17
35,0.875,0.82995783517367827,-0.33512870217355056,6.3240168879680326e-17
36,0.8366992460419026,0.75214765628933955,-0.49084904296929865,1.3277644264078602e-16
37,0.92249482082657541,0.76652096137024162,-0.23960447480217492,1.8091217210098527e-17
38,0.8125,0.1875,0.51328380320484557,3.3509143124896573e-16
39,0.6875,0.125,0.58777463757779291,-1.3372570190633562e-16
40,0.78125,0.09375,0.35222137153468636,-5.4269291720349067e-17
41,1,0.125,2.2796734492846834e-10,-1.1588609508665317e-18
42,0.875,0,2.247108241744822e-10,-1.5399151840162103e-18
43,0.8125,0,3.6508253592584482e-10,1.7667386589167586e-18
44,0.9375,0.0625,0.074773361432709365,-4.3589737958775755e-17
45,0.9375,0.3125,0.17989842713796708,-6.1415760945689233e-17
46,0.59197607918131223,0.44063986253879389,0.3492779196531553,1.1412561790739118e-16
47,0.48446982449268355,0.375,0.70607582770555744,3.1591228554076545e-17
48,0.62599776350006331,0.37605227779338868,0.64785634593860653,2.5961862031370732e-16
49,0.69505289748116805,0.64360983826778217,-0.64158149452988444,3.1397675910462346e-16
50,0.69682183417801713,0.57079028495553996,-0.35018637585391155,-4.3143061492100137e-17
51,0.76243952159946504,0.61866112700870113,-0.46023602651271245,2.0059432309508263e-17
52,0.5407082044305459,0.7907082044305459,-0.95928542558391183,4.2368485557973898e-16
53,0.63939904463891561,0.73973755426603183,-0.90442450120101925,-7.2682371913970613e-16
54,0.68262490136697695,0.875,-0.59395283358603757,2.7465581464211193e-16
55,0.52904234833930353,0.64709108996602138,-0.79435078186920138,-1.2492310011195364e-16
56,0.68975249236689928,0.7981841615098465,-0.7909933039120598,-1.538403448513608e-16
57,0.61165849855170618,0.62679427972016821,-0.67136746065179709,2.3056886980512614e-16
58,0.56487078768827992,0.71646314567440283,-0.95769961830313355,3.1923747406571017e-16
59,0.81918619659115066,0.3125,0.49734276140026817,3.3940197303638138e-16
60,1,0.875,-2.2570224416178229e-10,2.1130578469174103e-18
61,0.65850434249868661,0.21762282875065669,0.85993478976902737,-2.698943279539467e-16
62,0.55920888428313098,0.13568832642469647,0.74018698816398509,2.4044705806448e-16
63,0.625,0,5.8028712986505614e-10,1.9594757509633343e-17
64,0.9375,0.1875,0.18047577532922232,-4.4665330569779955e-17
65,0.53767897714725299,0.31814603442941625,0.90329109641238992,1.0422244691774798e-16
66,0.25,0.46759560560948066,0.14326964862654859,1.0632893198491941e-17
67,0.77712666045661105,0.84527890705402786,-0.5321290877212429,-5.1713180214446873e-16
68,0.875,1,-2.409878862996454e-10,-1.16884087574641e-17
69,0.7487133873762879,0.92003586955616246,-0.34156113078850803,2.4313866637668486e-17
70,0.625,1,-5.8355594013746181e-10,3.7587062785295709e-18
71,0.40103697533424509,0.72977118131436058,-0.94459241567455698,-4.8421175736284944e-17
72,0.54951380189645527,0.56663643795291008,-0.40104780853063909,-1.6860256391074663e-16
73,0.5757681357186929,0.21675511391056781,0.95061243342025059,-1.5103104038990705e-16
74,0.25,0,4.5097109750532303e-10,2.1930818367446076e-17
75,0.5625,0,6.1796268631649586e-10,5.683730845783844e-18
76,0.6875,0,5.2449391282089854e-10,-8.8176538436218808e-19
77,0.61924369132285229,0.08100315433857383,0.4532547313481024,4.6512532265147607e-17
78,0.37918039379754609,0.45154605210723953,0.27878878462602469,1.9555553019339313e-16
79,0.9375,0.9375,-0.074742479869217532,-4.8239402171417763e-17
80,0.5719317421064819,0.89975305795513449,-0.57387081735642254,-5.5033811494156792e-16
81,0.61350434345646843,0.82885665040120515,-0.82381457241335898,-5.5130372900269032e-16
82,0.39862106130239761,0.125,0.67208822272565338,2.056221166403333e-16
83,0.45298361002745369,0.44237663689880041,0.35022223615250758,6.5729150143479195e-18
84,0.3936268894228464,0.59038223645881527,-0.5079154200066972,-4.9398637323395254e-17
85,0.48168303603016976,0.088755121906420015,0.5283974613215584,-1.2880426728762756e-16
86,0.46853045625265749,0.17191203472541791,0.87713083937153935,1.777949747039492e-16
87,0.35730069322482594,0.26212287734419693,0.89920098668248827,6.9465105607128599e-16
88,0.42299348692172162,0.51715681521609769,-0.10446289690220785,3.7632743353177604e-17
89,0.44508548891966843,0.65753807171624945,-0.82353403046171092,3.4767208762939903e-16
90,0.31541272112659424,0.6644316338327525,-0.71888995064973993,7.1830800438095535e-17
91,0,0.75,-3.1527385300493967e-10,-2.2440392154955856e-18
92,0.29311937933909982,0.56255315621036661,-0.30481870549255285,1.379733233360513e-16
93,0.31881976821681135,0.49361399949128154,0.034106480480638454,-2.6051271166059337e-17
94,0.13697538290307607,0.57618791785175805,-0.19198431817648517,1.7047941305867442e-16
95,0.21264233925625148,0.54182822582325252,-0.16089806640919113,-7.096567404332978e-17
96,0.21391773384181262,0.64513367988603942,-0.49172332079826669,1.1738836542979705e-16
97,0,0.25,3.1613267563628625e-10,8.874554321109734e-18
98,0.12611051847179536,0.45176452141439527,0.11476520983568693,5.0294840974305135e-17
99,0,0.625,-2.2155355584958495e-10,1.7673629846347328e-18
100,0.10363971422050022,0.69079607099476059,-0.29765815136818635,-4.7953062994553121e-17
101,0.079368255398513457,0.51853220353392515,-0.028986212474318838,-1.0147229290219376e-17
102,0.20664505068103525,0.31420173774000421,0.5558798276918806,-2.6631289553671853e-16
103,0,0.6875,-2.8937423926337025e-10,-3.22354527771568e-18
104,0.07557443901935755,0.62048063285819532,-0.16144687050071771,1.3022475204140711e-16
105,0.17863326387084374,0.71591504363899405,-0.52045423717366834,-1.8460327558533182e-16
106,0.25,1,-4.4256534109949925e-10,7.1265469532507915e-18
107,0,0.875,-2.2705359116347673e-10,1.1509585064057775e-18
108,0.10455560001215138,0.812569049319259,-0.29756007181898286,-1.5680023048878592e-16
109,0.19566493415104422,0.40012895076323807,0.33852498071419651,-1.0773566829126372e-16
110,0,0.8125,-2.833656506492389e-10,6.4136146931076008e-18
111,0.125,1,-2.3353112613527082e-10,6.0278358775004861e-18
112,0.0625,0.9375,-0.07486151235206942,-1.019560226385644e-17
