vertex,x,y,solution,residual
0,0,0,-4.2459305804525805e-12,-2.1684043449710089e-19
1,1,0,-1.4549833564261415e-12,2.1684043449710089e-19
2,1,1,4.2681961125715056e-12,-2.1684043449710089e-19
3,0,1,1.875599745467989e-12,-2.1684043449710089e-19
4,0.5,0.5,5.9243520777520273e-06,8.1450641559599724e-18
5,0,0.5,1.0646237056280418e-12,-8.0592292109389302e-20
6,0.5,0,6.2886828120528364e-10,1.0896374626358365e-17
7,1,0.5,-1.0304956396618371e-12,-1.0565427260344889e-19
8,0.5,1,-6.2862442426801837e-10,-1.5967910566901501e-17
9,0.75,0.25,0.70717193884524066,-2.2915899533326833e-16
10,0.25,0.75,-0.70726656117557152,-1.3391325178997598e-16
11,0.75,0.75,-0.7070239701136849,9.5147467648219436e-17
12,0.5,0.25,0.99986635901330134,2.7382824240668799e-16
13,0.75,0,4.446503107729217e-10,-6.3274741729526136e-18
14,1,0.25,3.146651826939356e-10,1.5056534192475182e-17
15,0.875,0.375,0.27056829918568481,-1.3310362644412602e-16
16,0.875,0.125,0.27067435244185262,1.1530971898475613e-16
17,0.875,0.25,0.3827326345045769,2.8972434036180367e-16
18,1,0.375,2.2544166599242273e-10,-6.1625617003766432e-19
19,0.9375,0.4375,0.074608592442244784,5.0419719735937819e-17
20,1,0.75,-3.144849433700514e-10,4.3157844713482164e-18
21,0.765625,0.546875,-0.19502643641951781,-1.166971462914381e-16
22,0.83940972222222221,0.47309027777777779,0.081411907959258206,2.5068115202833978e-17
23,1,0.625,-2.2113391474773063e-10,-2.1123260545794236e-18
24,0.69431423611111109,0.40177951388888888,0.47397768616663133,-1.3404099414722176e-16
25,0.88172743055555558,0.58919270833333337,-0.19304067661180746,-8.3029891944956713e-17
26,0.78611893892370455,0.39825290163505112,0.37143296504442319,2.2065021557534259e-16
27,0.90950290979323922,0.51330561452499801,-0.023402711255433632,-8.0367085304164021e-18
28,0.74282842376155944,0.46800747896808659,0.1442988494124928,-5.2913095078356768e-17
